Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
MRBK,Meridian Corporation,185.04M,16.72,0.66%,100.94M
BTMD,biote Corp.,184.94M,5.09,-7.96%,193.06M
PHLT,"Performant Healthcare, Inc.",184.77M,2.360,-2.07%,120.78M
KEQU,Kewaunee Scientific Corporation,184.66M,64.30,0.55%,199.64M
BCBP,"BCB Bancorp, Inc.",184.63M,10.83,1.98%,83.39M
PESI,"Perma-Fix Environmental Services, Inc.",184.55M,10.23,1.19%,67.13M
OXSQ,Oxford Square Capital Corp.,183.99M,2.710,1.50%,44.79M
CCRD,CoreCard Corporation,182.60M,23.11,2.80%,54.73M
HQI,"HireQuest, Inc.",182.00M,13.00,-2.62%,36.28M
INSG,Inseego Corp.,181.16M,12.11,-0.16%,207.48M
YIBO,Planet Image International Limited,181.04M,3.360,3.38%,153.28M
JRVR,"James River Group Holdings, Ltd.",180.82M,4.780,-0.62%,796.82M
ELA,Envela Corporation,180.67M,6.95,-1.28%,165.95M
CMCL,Caledonia Mining Corporation Plc,180.42M,9.40,-1.93%,165.35M
TTEC,"TTEC Holdings, Inc.",180.42M,3.780,0.80%,2.27B
NWTN,NWTN Inc.,180.35M,0.630,-4.25%,583.00K
MKTW,"MarketWise, Inc.",180.03M,0.555,-2.89%,423.38M
LXEO,"Lexeo Therapeutics, Inc.",179.61M,5.43,3.43%,-
PROC,Procaps Group S.A.,179.47M,1.591,0.04%,414.10M
DLNG,Dynagas LNG Partners LP,179.40M,4.870,-1.62%,151.69M
PLX,"Protalix BioTherapeutics, Inc.",178.93M,2.430,2.10%,45.67M
AFCG,Advanced Flower Capital Inc.,178.69M,8.14,-0.37%,43.16M
FENC,Fennec Pharmaceuticals Inc.,178.56M,6.50,-0.76%,49.35M
AVD,American Vanguard Corporation,177.91M,6.18,1.48%,553.84M
PLL,Piedmont Lithium Inc.,177.81M,8.25,-3.96%,46.98M
